Artist,Track_Title,title_norm,hit_strict,hit_loose
SOYOU,Missing You,missing you,0,1
SOYOU,Rain,rain,0,1
Kim Bum Soo,I Love You (From re.MAKE20 #1),i love you,0,1
Kim Bum Soo,I Love You,i love you,0,1
Kim Bum Soo,I Love You (inst),i love you,0,1
Sung Si Kyung,あした,,0,1
Sung Si Kyung,ハチミツ,,0,1
Sung Si Kyung,追憶,,0,1
Sung Si Kyung,幸せならそばにある,,0,1
Sung Si Kyung,鼓動は届く,,0,1
Huh Gak,RAIN,rain,0,1
Huh Gak,RAIN (Inst.),rain,0,1
Huh Gak,Without you,without you,0,1
Huh Gak,Without you (Inst.),without you,0,1
Huh Gak,Memories,memories,0,1
Hwang Chi Yeul,我们的结局,,0,1
Hwang Chi Yeul,Rain,rain,0,1
Hwang Chi Yeul,Memories,memories,0,1
Hwang Chi Yeul,Goodbye...,goodbye,0,1
Hwang Chi Yeul,Without You,without you,0,1
Lyn,Tonight,tonight,0,1
Kim Tae Woo,GOODBYE (GUD BA I),goodbye,0,1
Kim Tae Woo,GOODBYE,goodbye,0,1
Kim Tae Woo,GOODBYE (inst),goodbye,0,1
K.Will,Beautiful,beautiful,0,1
K.Will,Beautiful (Inst.),beautiful,0,1
Lim Changjung,Goodbye,goodbye,0,1
KCM,Missing You,missing you,0,1
Ha Dong Qn,BUTTERFLY,butterfly,0,1
Ha Dong Qn,Beautiful,beautiful,0,1
Ha Dong Qn,Beautiful,beautiful,0,1
Ha Dong Qn,Run,run,0,1
Lee Seung Chul ,My Love (Duet Ver.),my love,1,1
Lee Seung Chul ,My Love (Duet Ver.) (Inst.),my love,1,1
2AM,放过,,0,1
2AM,"I Love You (Feat. 백찬, 주희 Of 8eight)",i love you,0,1
BEN,STAY,stay,0,1
BEN,STAY (Inst.),stay,0,1
Shaun,Blue (feat. Wonstein),blue,0,1
Shaun,Home,home,0,1
OVAN,Home,home,0,1
SEULGI,Always,always,0,1
Yang Da Il,HOME,home,0,1
Yang Da Il,My Love,my love,0,1
Yang Da Il,Tonight,tonight,0,1
John Park,Stay,stay,0,1
John Park,Stay (Inst.),stay,0,1
BAEKHYUN,Rain,rain,0,1
J.Y.Park,"Fire (feat. Conan O'Brien, Steven Yeun, 박지민 Jimin Park)",fire,0,1
Brown Eyed Girls,Magic,magic,0,1
MSG WANNABE,I Love You,i love you,0,1
Punch,Tonight,tonight,0,1
Mido and Falasol,Butterfly,butterfly,0,1
Yoon Mirae,Goodbye,goodbye,0,1
Yoon Mirae,ALWAYS,always,1,1
BamBam,พี่ไม่หล่อลวง - เพลงประกอบภาพยนตร์ อ้าย..คนหล่อลวง,,0,1
Sana,卒業,,0,1
Sana,卒業 - カバー,,0,1
KIM WOO SEOK,Holiday,holiday,0,1
KIM WOO SEOK,Memories,memories,0,1
KIM WOO SEOK,Beautiful,beautiful,0,1
WONHO,BLUE,blue,0,1
WONHO,BLUE (English ver.),blue,0,1
